用户,是否看过,评分,评论时间,有用数,评论
m89,看过,很差,2019-07-29 21:55:02,1441,只奉劝路人观众一句啊，买票前记得先点开豆瓣的导演影人页，看看他以往的辉煌战绩，你就对影片的成色心里有数，能猜个八九不离十了。不是歧视啊，有些事整定既。还有记得选靠边的位子，便于离场。
朝阳区妻夫木聪,看过,很差,2019-07-28 14:52:06,769,哭不出来，全程冷漠。歌颂牺牲，歌颂集体至上，从开始的第一秒就在强迫你哭，不加节制的升格和煽情配乐狂轰乱炸，塞满两个小时，所有人物在片中都像是被一根无形的线操控的提线木偶，为了做英雄而逞英雄，在被擦得锃亮的某徽面前，僵硬，说教，推特写，挤眼泪，空喊口号。整场救火看不到任何作战策略，和流淌火尬战两小时，没有任何张力层次感可言，剧本单薄到可笑。代表官方形象的书记除了下命令更是毫无卵用，形同虚设，荒唐至极，对于人性的刻画更是沦为画脸谱。大场面戏看不到任何导演影子，全是监制刘伟强对于爆破戏陷入魔怔般的堆砌，从xx伟业开始就是，不停叠加看起来牛逼的特效，只有奇观没有调度。总之只能建议大家警惕任何时候的自我感动。我向现实中的消防战士致以无限敬意，但是电影只能差评。这不是我想看到的主旋律，这是新时代样板戏。
阿珂,看过,较差,2019-08-01 00:16:19,1603,建议导演去看看杜琪峰20年前的电影《十万火急》，看看什么是电影，看看人家是怎么拍主旋律电影的
木卫二,看过,很差,2019-08-03 11:35:00,277,就这水平，也配唱主旋律？？？
嘟嘟熊之父,看过,很差,2019-07-28 15:15:42,282,另一种版本的《切尔诺贝利》。
恶魔的步调,看过,较差,2019-07-27 21:13:01,1361,政治牺牲了，大家默哀了片刻。教主一直在转圈圈，然后挂了。灭火不讲技术活，只管大叫流淌火。配乐慢镜头比火还泛滥。两个小时的电影可以尬两辈子。
后自愈,看过,很差,2019-08-01 21:06:45,252,你说把火灾拟人化的编剧是咋想的？每次教主对着火苗说“我打败你了！”之类的话就尬到想躲椅子底下去。行活好不好一眼就能看出来，小明的演技被杜江吊打。
猫奴十二年,看过,很差,2019-07-27 18:09:22,256,不说五毛特效，不说矫情的台词和情节，不说全程状况外的杨紫，不说中国特色灾难片必须出现但卵用没有的书记，就说这片子传递的价值观：黄把摆明了要被炸死的人救下来，结果被一顿嘲讽，说让他们“从英雄变成了狗熊”，我就想知道，什么都换不来的鲁莽搏命算什么英雄？中国主旋律电影什么时候能把“人”真正当做“人”来拍？要我说，片子里只有印小天一个人不是假人，因为他起码知道害怕。这些才是该被正儿八经解决的“技术问题”
birds,看过,较差,2019-07-27 23:03:00,821,真希望各位适度煽一煽情，这样才会有感人肺腑的真实力量啊。不然观众泪哭干了，再煽不哭是不是显得比较假？战狼药神式口号大片，每当你稍微有那么些被代入了，过火的特效和硬煽情就冒出来提醒观众：我们是拍电影喂！两年前的《勇往直前》可全方位吊打本片，尽管人家没那么多火爆的场面。人物草皮描写，火场外支线故事极其稀烂。教主角色对比杜江的演绎，观众记住的只有他那张烤掉皮的脸了。
王大根,看过,较差,2019-08-01 14:56:46,577,有很多想说的话，但是你们看过里面坐镇指挥的房书记长什么样后就知道我为什么屁话都不敢讲了……
