用户,是否看过,评分,评论时间,有用数,评论
gus,看过,较差,2019-02-05 01:33:03,14931,台词做作剧情薄弱没一个演员在线 无时无刻的尬笑走心台词还以为编剧是激素泛滥的中年少女 感觉看了一部战狼3 最后小女生用一篇激情澎湃的即兴小学生作文感动了全球救援队 中国梦实现了！
frozenmoon,看过,还行,2019-02-05 16:29:48,4872,1.从特效和技术上讲，这应该是迄今为止此类中国电影的巅峰了。磅礴恢宏，细节营造用心。2.故事层面比较糟糕，很好奇到底出于什么原因，造成几乎超过40%的台词都是后配的，而且对不上口型，明显是片子成型后彻底改词重配的。这严重影响故事质量。3.作为类型片，很多讲述方式有明显问题，比如人物特征不鲜明，交代不清楚，刘启变成“刘户口”，这种启字的拆解为什么不交代?李一一变成“李长条”留给谁去猜?4.很多地方增加众多根本无意义的插科打诨，自以为幽默但毫无笑点非常尴尬。5.这个全球化的项目中，中俄合作，稍稍出现一句法语，两句日语，美国只闪现一次国旗，美国的缺席，出于什么原因?好奇。6.科幻特效技术有了巨大进步，但技术这只是科幻电影的一部分。
桃桃林林,看过,还行,2019-02-07 23:08:46,1703,7分，当时看的时候，最大的感受就是，影片终于用一种好莱坞灾难片的模式，来处理这部电影，这使得最后的救援与牺牲，都有热血感。虽然从情节的细节、人设、台词等很多方面，还是有太多的遗憾。但是，它还是一个方向吧，这种大片，还是要尊重一些类型片基本情节规律的。另外，真正触到我的，还是那个2500年的漫长旅行，一场所有人都看不到结局的冒险，特别绝望与悲观，恰好也是我对宇宙的看法。
影志,看过,推荐,2019-02-04 15:56:16,72454,“北京道路安全委提醒你：道路千万条，安全第一条，行车不规范，亲人两行泪” 这句广播语真是又土又洗脑，能不能押点韵啊？哈哈哈~ 电影比预期要更恢弘磅礴，晨昏线过后的永夜、火种计划、让地球流浪、木星推动地球…等等大小设定，没想到中国也能拍这么大架构、大格局的科幻片了，而且是第一部，了不得。以前看国外科幻感觉离我们很远，这一次看到熟悉的北京大裤衩、上海东方明珠都变成零下89°冰天冻地的末世场景，既猎奇又唏嘘。虽然在剧情上有套路，对于这部中国文化背景下的科幻新生儿，鼓励多于挑剔。导演说美国人拍科幻是放弃地球、去挖掘新的人类居住地，而中国人是不放弃地球、守住家土的情怀…“希望是我们回家的唯一方向”
舒服Kimodi,看过,力荐,2019-02-06 03:54:42,10429,8.8，热评第一条我就呵呵了，中国科幻电影为什么不值得我们打高分去鼓励，非要放在国际水平线上才是客观的吗，您真的有那么客观吗，我看《七武士》、《漫游太空2001》的时候，我要不顾及他是那个时代的电影，我会给那么高的评价吗，同样都是时间轴上的事情，我觉得国产这种东西给高一点评价真的没问题，真的需要鼓励，才能继续发展，我国多少题材和类型的电影就是被您这种想法所阻碍和难以发展的，向您这样的评论，中国科幻电影真的是寸步难行了，中国电影也会受之影响，真的希望大家能明白，结合我国电影发展的历史来评价国产电影。
朝暮雪,看过,推荐,2019-01-27 14:16:11,13287,"《流浪地球》小说本就想象力丰富，让地球连同地球人一同逃难的创意荡气回肠、惊艳无比。
电影中的行星发动机很硬核，还原了小说中“雅典卫城神殿的巨柱”的描写；
地球启航产生的尾迹清晰可见，宛如一艘巨型飞船遨游宇宙之间；
北京、上海被冰雪覆盖气势磅礴；地木交会更是让人瞠目结舌，试问有电影能看到这样一幕？
最后表扬一下片尾的《流浪地球》小说的特效，比漫威的漫画翻页片头还精彩。
电影保持了小说的整体框架，有一定改动（严格说其实是扩充），只拍了小说的前两章，最精彩的《叛乱》希望能在续集看到。
新加入的点燃木星很有新意，这种有创意的改动我还是能够接受。
《流浪地球》的上映填补了中国科幻电影的空白，意味着中国科幻电影正式启航，让“中国科幻电影元年”迎来真正的春天。
中国科幻迷从此不再流浪，因为我们终于有硬科幻了！"
张小北,看过,力荐,2019-01-29 02:11:13,13195,从各个方面来说都是一部好看的类型片。而最特别的是它是一部国产科幻电影，影迷+科幻迷的双重满足。和最好的好莱坞视效电影相比肯定有差距，但差距已经是肉眼可见的了，剩下的都是假以时日就有机会追上的。追求最广泛的情感共鸣是所有商业类型片都要努力做到的，在某些人看来很俗，但我觉得这一点反而应该是值得骄傲的。
亵渎电影,看过,推荐,2019-02-02 14:29:09,9342,中国导演能拍出这样的硬科幻，看到这样的完成度，想想就激动，可以让人原谅一切不完美！说这部电影是中国科幻电影的元年自然是站不住脚，毕竟国内早就拍过很多软科幻，但说《流浪地球》是中国硬科幻电影的第一座里程碑，或者说中国硬科幻电影的元年，这是任何人都无可反驳的，它的工业化程度在国内绝对是前所未有的，是一部可以载入中国电影史的电影！其实中国观众对于这类型的硬科幻并不陌生，只是国内一直没有拍摄这种硬科幻大制作的工业基础，也可能是因为中国人没有这样的文化自信，找不到中国独有的文化语境，并不相信中国人可以去拯救地球，拯救世界。直到今天，终于有导演做了这件事情，而且做的非常棒，给中国的硬科幻竖起了一个很高的行业标杆，在中国人的文化语境里用中国人的方式拯救全人类，也一样可以拍的毫无违和感，一样燃爆！
姨妈的鸭,看过,力荐,2019-02-05 16:51:54,7157,春节期间最大的一场烟花，是看你爸为你和地球点燃的宇宙爆炸，太朋克了。
九只苍蝇撞墙,看过,2019-02-05 23:16:40, ,2039,战天斗地会是历史留给中国人的唯一思想遗产么
