用户,是否看过,评分,评论时间,有用数,评论
与魔鬼同行,看过,力荐,2014-06-09 19:26:22,812,感觉比123部加起来都屌。。。
贝塔先生,看过,推荐,2014-06-23 20:35:25,751,收破烂儿的和破烂儿的逆袭。
深夜声噎,看过,还行,2014-06-27 03:00:07,1595,真。的。太。TM。长。了。哟。
黄青蕉,看过,还行,2014-06-24 11:07:40,363,卖拷贝老师已经自创了一种槽点密集式魔幻动作喜剧流派。
Cookies4ever,看过,力荐,2014-06-27 14:00:06,48,0点IMAX座无虚席，全场无尿点！速度与激情+哥斯拉+变形金刚的集合版！脑残粉，不解释！
朝阳区陆依萍,看过,推荐,2014-06-27 02:46:06,185,还是那套模式，总之，high到下巴掉，吵到耳朵聋，炫到喷眼泪，不看imax版简直不叫看，场面是近年所有爆米花电影大集合，变形金刚版复仇者联盟。。梦龙的主题曲好听到哭，最不能忍受的是各种广告的植入，尤其是伊利舒化奶。。
幻觉的黎明,看过,还行,2014-06-16 06:47:37,309,汽车人团队为了取悦天朝狂刮中国风！
年糕,看过,推荐,2014-06-27 15:47:29,55,含根说了一句“我靠”然后就被淋逼吸走了。
小海,看过,还行,2014-06-27 03:59:55,285,老师问大雄：迈克尔·贝拍了一部变形金刚，然后又拍了一部，最后说再拍一部就不拍了，请问一共会有几部变形金刚？大雄：至少十部。老师：你压根不懂数学。大雄：你压根不懂迈克尔·贝。
桃桃林林,看过,较差,2014-06-30 19:04:25,1145,不看这片总觉得少点什么，看了之后却发现实在是没有什么。大概很多人都以这种心情前赴后继吧。
同志亦凡人中文站,看过,较差,2014-06-27 17:59:27,531,麦拷贝终于把这个系列做成了一砣屎，还是又臭又长、废话和特效齐飞的屎。拍到中国后只剩两样东西了：一是雾霾，二是广告。
渡口无边,看过,还行,2014-06-27 05:31:13,222,请不要再广告中插播变形金刚！！！！这种为影院而生的电影，关键就在能否让观众过瘾。完全秉承麦拷贝式的炸炸炸。大量的仰拍、过火的配乐，美国战有复联的影子，香港站机器恐龙践踏战场比较热血，BOSS依然死得无趣无味，还好不是美军打赢的。李冰冰戏份虽多，但其实角色非常鸡肋。
tomsheep,看过,还行,2014-06-29 08:50:11,59,很多人看了3个小时都没整明白敌方大boss是什么来历，其实导演已经暗示的很明显了，目的是挑动地球种族矛盾、技能是收废铁，这厮一准是……万磁王。
clarence,看过,推荐,2014-06-22 11:51:31,56,这么多人把环太平洋和变形金刚比我真是服了，这是一回事？环太平洋只是一个导演圆了自己的机甲大战怪兽梦，变形金刚是圆了全世界无数大男孩当年的梦，对我来说不要说4了拍到40我都愿意看，这是我当年做梦都想看到的电影，就这样
儿子,看过,推荐,2014-06-27 12:58:46,24,magneto把你们全部秒成渣渣！！
阿絮啊,看过,力荐,2014-05-30 16:05:44,35,五星好评不解释！！！
飞翔的企鹅,看过,推荐,2014-06-23 15:07:06,32,看第一部的时候是怀着宝宝去看的，老公把包包衣服都压在我肚子上生怕吓到宝宝。到了第二部孩子已经出生了我把小家伙放到他姥姥家和老公一起去看的。我俩像个逗比一样在路灯下讨论当年看片的感觉。现在可以带着孩子去看第四部了～～*^_^*
seabisuit,看过,还行,2014-06-27 05:17:46,37,IMAX大多半满屏3D尚可，从20多分柱哥出场几乎打到完，迈克尔贝那一套美毁煽玩到极致，所以谁会在意评价，不骂一骂他哪敢称自己为影评人。中国元素明星客串路人像众多广告植入一样是看点和糟点，李冰冰怒飚三种语言还有感情戏，香港大战完爆环太和万磁王，马克献上史上最伟大老爸牌电灯泡。金逸
fire,看过,推荐,2014-06-27 03:34:01,29,两个半小时，动作场面过足瘾，够劲爆。当然剧情什么的基本无视吧。开头的乡村美景倒是很不错。还有，邹市明那段挺带感的
科林,看过,还行,2014-06-28 19:32:52,44,1.建设银行 2.安利纽崔莱 3.剑南春 4.伊利舒化奶 5.怡宝矿泉水 6.含根 7.8.9.10.……数着数着，我睡着了……
狐神,看过,很差,2014-06-26 19:13:58,889,导演你何不直接让李冰冰穿着VS情趣内衣坐在盘龙大观楼顶喝舒化奶呢？
伍德与夏洛蒂,看过,很差,2014-06-29 15:50:35,788,太！难！看！了！又！臭！又！长！卖拷贝这个直男癌晚期到底多恨变形金刚才能把它毁成这样，头一次发现，催肾上腺素的动作片也能无法给人带来任何快感，只有无止境的生理不适。变形金刚成了彻底的神经病，没完没了的撕逼，像一场对金钱和特效丧心病狂的家暴。中国元素没必要说，傻逼火上浇油。
囧叔,看过,力荐,2014-07-09 16:38:15,21,德州男人就是屌，变形金刚算个鸟，一把宝剑一杆枪，硬接十吨大砍刀。去年炸了芝加哥，今年来炸香港岛，恐龙来个顶个屁，全靠老子把命保
Lucy,看过,还行,2014-06-26 10:03:50,25,看了3D IMAX。中国元素太多，北京广州香港都有戏。李冰冰居然有普通话，英文，广东话各种台词和打戏。最讨厌各种产品广告植入，建设银行宜宝舒化奶。Fraiser演坏蛋大BOSS。镜头一直乱转，看完晕的想吐了。卖的无非是未成年性暗示和消费主义。这电影除了特效和养眼演员，简直是渣。
_G殿下,看过,推荐,2014-06-02 14:24:44,24,环太平洋剧情就是个渣啊，居然还有人拿来比！
软蛋黄,看过,较差,2014-06-27 03:28:07,470,首映场。卖拷贝终于拍到让我看见视觉效果就吐的地步了。
左胸上的吸盘,看过,较差,2014-06-27 11:08:29,248,迈克尔·贝不入流的片子基本是臭贫戏加动作戏的组合里前者的分量过多，本片的臭贫部分主题是男主角对闺女的保守主义管理方式，而且臭贫的没什么意思，笑点基本全在一个个中文硬广的时刻，广告做成这样也太没技术了，虽然这片子不沾艺术的边儿，但作为一个产品，也需要广告商的尊重啊，不是有钱就牛逼。
budaphin,看过,还行,2014-06-26 13:01:32,25,前半部分我都要被感动了，陷入一连串的感慨“卖拷贝居然拍出了及格的变形金刚片”“卖拷贝居然拍出了名场面”“肾上腺激素分泌过多”...结果从战场移到香港开始，一切都在不知所云的对话、突兀的品牌植入和混乱生硬的剪辑中分！崩！离！析！那大家熟悉的卖拷贝又回来啦！一开始居然出现高度自黑台词！
SYRON,看过,很差,2014-05-29 13:57:39,38,呵呵 卖广告卖到如此丧心病狂的地步，我只能给你一星
七里八里,看过,很差,2014-06-27 03:55:35,27,如果时间可以倒流，我一定要阻止自己买票的手。恨不得打负分
siji小猪头moli,看过,推荐,2014-06-27 10:04:32,16,看的首映礼，来了好些七八九线的小明星又走红毯又拿礼物的，主持人一直处于断片状态中...中国元素出乎意料的多，超级亲切！还是觉得人类场景多了些，应该都删了，换成汽车人哈哈！中间还破天荒地去了趟洗手间，足见电影有多长...
更深的白色,看过,较差,2014-06-27 13:45:25,256,“中央政府一定会全力支持香港的”雷翻全场……然后听到巫刚又说“战斗机起飞了”一阵兴奋，以为要按着前几集路子来换我军力量上阵，真的从美帝主旋律变党国文宣了。又喝舒化奶不吃周黑鸭差评！感觉收党国的钱活做得糙了啊，剧情完全乱来嘛。不过鉴于我又睡过了前一个小时，加一星……
路人甲,看过,推荐,2014-06-27 08:48:44,23,”中央政府一定会支持香港的“ ，太感人了
CyberKnight电子骑士,看过,还行,2014-07-04 11:32:29,12,讲真，变4也没那么烂，我对4部TF的排名是1423，后三部整体在一个水平线上。变4的3D效果非常好，出画感很强。给变形金刚的特写多了，变形过程少了。故事看得过去，人物不算无聊，场面有点乱但还是超级火爆。四条线索并行也是这部剧本的大问题，不可能不乱的！背景放在hk真是败笔。卖拷贝也情非得已呀。
JohnsonYu1221,看过,推荐,2014-06-23 00:32:05,9,3.5分。太爽了！特别是擎天柱褪去伪装变身的时候超级燃！全场都在欢呼。加1分给音效和配乐，这次有些音效很有意思，大黄蜂从建筑上滑下去那段。扣1分这次的植入广告频繁到你想吐，就不列举了。本来我还准备记一下，发现目不暇接！莫名其妙的中文logo出现在美国。。= =。。
小慌,看过,还行,2014-06-23 20:05:10,17,迈克·贝有种将牛逼的视听轰炸搞到逼近视听污染地步的嗜好
[已注销],看过,很差,2014-06-27 17:28:34,25,可以去竞争年度最烂了
范克里夫大尉,看过,很差,2014-06-29 21:56:02,14,新生霸天虎，一帮洗剪吹；钢锁尼玛，还拎个锤
Stolobeli,看过,推荐,2014-06-26 00:04:12,10,真正的主角是舒化奶。。。李冰冰戏份完爆范冰冰╮(╯_╰)╭
张小北,看过,较差,2014-06-28 20:38:42,116,这种螺丝打螺母的机器人色情片拍到第四部了居然还能继续这么差，卖拷贝真是令人无语了……（四部电影我依次从5星给到2星，如果这个系列还有5的话，估计就该给1星了）
品客,看过,还行,2014-06-30 22:42:15,12,配上电影频道出品的片头，你会以为它是部电视电影。唛抠背居然蔑视戏剧到这种地步，全片充斥着自恋的炫耀毁灭场面，人物、机器人都被脸谱化，反派居然有三股且阻碍程度都不相上下，还没反应过来谁是主要反派的时候这三股反派就都以各自傻逼的方式结束了。它确实有娱乐性，但看完后你会觉得它算烂片。
幻覺大師,看过,很差,2014-06-28 16:42:32,19,如果你觉得中国主旋律和美式英雄主义不可能合体，请看此片。如果你不相信港岛南区有个武隆天坑，请看此片。如果你觉得“一个在海边弹着吉他唱着歌突然就被吸上天的傻逼角色都会有中国明星抢着演”这件事很扯蛋，请看此片。下一部植入广告安排造物者在外太空用联想我都能接受，但求您别再用中国演员了！
水浒三国金刚,看过,较差,2014-06-25 15:58:18,113,钢锁不说单口相声那还算是钢锁吗？赏金猎手“禁闭”是本片唯一的亮点
柏林苍穹下,看过,很差,2014-07-27 00:31:44,12,有那么一瞬间，我想把打三星以上的友邻全部拉黑。
翻滚吧！蛋堡,看过,较差,2014-06-29 02:42:20,54,香港这么多内地品牌真是沦陷了
西帕克,看过,很差,2014-06-27 15:55:25,4,imax早场，真心无聊到爆，从头突突突到尾，台词脑残到不行，为了卖广告都没有节操了。
荔枝超人,看过,较差,2014-06-23 00:26:33,52,换mark哥演果然还是有点保障，比之前的三部曲都好看些。基本上还是那套模式，High到你下巴掉，吵到你耳朵聋。
L'automne,看过,还行,2014-06-26 14:45:38,12,除了动作场面还是动作场面，有点无聊~
托尼·王大拿,看过,很差,2014-07-28 06:03:34,6,卖拷贝咔咔就是干，看完后我情不自禁情难自抑情到深处，在影院的卫生间里甩下了一滩激动的尿水。
亿万露电,看过,较差,2014-06-27 14:01:11,42,爆炸贝丧心病狂，系列最差毫无亮点。
兮称,看过,还行,2014-06-27 23:35:30,11,隔三差五的狂轰滥炸看到打哈欠，各种中文硬广告笑点很奇怪，美帝政府再N次被黑出翔，真的对这种几十年如一日书写着人肉小强被超级boss追杀最后还能完好无缺happy ending的童话感到厌烦，变形金刚你没错，错在你生在这个只认特效的地球
荞麦,看过,较差,2014-06-28 11:52:48,40,1、根本不需要去看IMAX版，因为大部分时间都在无聊的拌嘴。2、新式变形根本就是偷懒，以前那些灵关一闪的东西统统不见了，只剩爆炸爆炸爆炸。2、广告植入愈发恶心。最大的植入是中国政府，表现对香港的无限支持。3、女主角不美，整部戏她好像是一直在演hillster的广告片。
darkerthanwhite,看过,较差,2014-06-27 13:52:39,27,整个就是个逗比广告。。。
李茶,看过,很差,2014-06-10 20:24:20,8,變形金剛大的女主從梅根之後就原來越醜，八卦說是梅根不願意和炸貝上床所以沒有繼續演。看來炸貝選女演員，樣子還是其次，最重要的標準是誰能「上」就能上啊。
猪大腿,看过,很差,2014-06-29 12:03:52,5,剑南春大战舒化奶，怡宝矿泉水不遑多让。“Shit!”“我靠！”上一部给一星的电影是整整九个月前看的《非常幸运》，终于有一个冰冰来到了我大国际章的level。
芦哲峰,看过,较差,2014-07-28 08:44:01,26,黔驴技穷卖拷贝，破铜烂铁满天飞。
SpancerHu,看过,还行,2014-06-28 22:40:32,3,卖拷贝的瓷器国生意经：怪腔中文，三流咖乱入，无节操品牌展销会。还真别说，这么秀下限的整，已经催生了一种全新的观影视角。香港之战，跟行家请教一下，应该不比环太差吧？boom！飞船爆炸了！boom！大楼爆炸了！boom！汽车爆炸了！看来5很有必要联手罗兰·艾默里奇，毁灭宇宙毁灭一切文明就靠你俩了
[已注销],看过,力荐,2014-06-30 16:59:53,24,豆瓣评分虽低。但尼玛真心比国产小清新好看多了好吗。
寒  汐,看过,还行,2014-06-29 11:33:19,5,单看 视觉什么都不错 放一个系列看 可以很负责的说没1好看 贝爷只是多加了几吨炸弹
九尾黑猫,看过,很差,2015-02-01 15:09:00,2,难看到无以复加。那些中国元素真的不是来黑的吗……翻个跟头就从香港到四川，以为自己是孙悟空么
影毒肥佬,看过,推荐,2014-06-30 15:22:22,2,"識睇嘅凈睇最尾個段得啦,香港做咗最佳男主,深水埗鰂魚涌青馬橋中銀大↓門常開全逼係一個位,方便一次過爆爛,維港隔離後山就係四川,搵得冰冰就梗要打場交,吵鍋甘同呂良偉,王敏德做硬差佬,連拳王鄒市明先生都搵來做金牌打手,係白鴿籠打欖球,雜亂樓層跳冷氣箱,玩足咁多款最後維港深情話別,深深為香港驕傲!."
马克爱马克,看过,很差,2014-06-28 11:21:23,3,各方面 都 相当 二逼
