用户,是否看过,评分,评论时间,有用数,评论
荞麦,看过,还行,2019-07-26 13:43:43,428,挺好看的。除了不是哪吒之外。
萨嘎摩多熊猫桑,看过,较差,2019-07-21 21:13:21,3172,国产动画发展了这么多年，似乎是越来越不明白技术它就不是这个行当里最根本的东西，不明白作品里塞再多大而空的感情也无法真正打动人。古往今来反父权反愚孝的动画人物有几个？这么一个难能可贵的形象还给毁了，改得面目全非为什么还要继续叫哪吒？就是叫王小明也完全没问题。至于笑点，永远低俗而不自知，片里翻来覆去地嘲笑结巴、胖子和娘娘腔，有意思吗？做动画的各位是大人了都这样子，还指望我们的动画教出什么样的小孩？
HooChao,看过,很差,2019-07-14 15:38:40,665,戾气太重，受不了，3头身变身5头身，接受不了，不建议未成年人看
蛾儿雪柳黄金缕,看过,很差,2019-07-21 06:22:05,390,"这个设定一看就是抄的《好兆头》。预告图片中有一张让小哪吒拉开对方裤子拿手电筒照成年男人的隐私部位，这不是恋童癖？这一部国产动画太吓人了。宣扬形而下的三观，还买榜买推荐。呵呵。“好兆头今年5月30号上映，抄袭好兆头？”有小朋友给我发私信抗议。解释一下。好兆头他妈的有原作 Good Omens
 Good Omens 作者: Terry Pratchett / Neil Gaiman 
出版社: TRANSWORLD
出版年: 1991-5
页数: 416
定价: 95.00元
装帧: Paperback
ISBN: 9780552137034"
扭腰客,看过,还行,2019-07-26 23:25:52,232,技术上确实是国产动画新高度，但故事依然如那颗混元珠一样，魔丸和灵丸厮杀交错，始终未能浑然一体。回望《哪吒闹海》，还是老一辈动画人把握住了悲剧的精髓。不必硬蹭什么港式无厘头或美式皮克斯，因为哪吒本身就催人泪下。
LOOK,看过,较差,2019-07-21 22:01:14,2186,远远不如小时候看的《哪吒闹海》来得撼人心魄。传统中国各类文本，动人的都是关于人伦的张力，哪吒是骨肉还给父母，修得至纯至净莲花身，本作改得不伦不类，不中不西，对抗个人命运很是大而无当。人物造型、笑料、桥段，迪士尼、香港无厘头、电脑游戏借用不少，意思却不大。迎合的心态永远弄不成一流的商业片。2.5
DR邬梦雨,看过,还行,2019-07-14 22:23:21,362,"前半段略无聊的笑点太用力咯吱观众，远逊于后半段哪吒天生悲情的催泪作用让人触动
人物设计上主要人物还算有趣，但次要角色非常呆板
配乐有各种影子，特别是《终结者》
表演程式化，哪吒从咬母亲的手到温顺的变化，对比《风之谷》小动物咬伤娜乌西卡的段落差距巨大
小朋友设陷阱和回放段落重复动作显得乏味；影片过度迷恋动作戏，想靠密集的快速打斗提高影片节奏，反而将情节停滞。
对愚民的讽刺一开始似乎很有意思，但后面百姓接受哪吒的场景太一致没有任何迟疑，让歉意显得虚假也把前面对庸众的批判消解了。
但总的来说，本片是一部合格的娱乐爆米花电影。只是79年的哪吒闹海可不只是这么简单的作品，那是对十年浩劫的控诉，哪吒替天行道粉碎四条兴风作浪的龙，却还要自刎将血肉还给父辈，不连累父辈。那种大时代的悲剧能量，是核弹级的。"
LORENZO 洛伦佐,看过,推荐,2019-07-27 00:28:14,257,几个小缺点：娘炮那个梗用得有点太多了后面就烦了，结尾大战有些拖沓，段子堆得有些太密集了导致最后情绪有点破碎。其他都很好，比［大圣］好，可能是这几年最好的国产动画，李靖太可以了吧。
认真的泰罗,看过,较差,2019-07-19 15:29:41,1179,丑，魔童就得是丧尸脸吗。
Paco,看过,还行,2019-07-18 21:41:36,267,3.5。真纯粹。虽然文本完全不是想象中的高级向，但“不认命”这个基本点在情绪释放上真是合理又张扬，放低一秒防线眼眶就红了。技术上丰富度、流畅度双高，也基本跟得上想象力，但质感依旧有欠；剧本前松后紧，在节奏和笑点设置上都有刻意之处，但整体已相当圆熟，多主题驾驭得当，去二元化也成效显著，对神话元素更深入更有机的结合野心已然初俱，完全超越《大圣归来》没任何疑问。作为后起，如果能把投机又扭捏的《银河补习班》狠狠爆掉，那也算这个暑期档唯一能给的安慰了。
谢飞导演,看过,推荐,2019-08-29 21:38:23,118,中国的封神奇幻故事是未来商业娱乐电影的大宝藏，这还只是个小开头！祝贺这位年轻的新编导。
同志亦凡人中文站,看过,推荐,2019-08-23 18:05:15,123,跟“哪吒闹海”相比格局太小了，得了狂暴症的哪吒也不太讨喜。但创意和细节都值得嘉奖，还有N多熟悉的家乡元素。让封神宇宙来得更猛烈些吧！（这版的李靖我可以…）
