用户,是否看过,评分,评论时间,有用数,评论
下一秒治好懒病,看过,还行,2020-08-14 21:01:04,5725,和删不删减没关系，创作者就没明白是想拍大时代小人物，还是小人物大时代。对岸民众拍得更可笑
在下坂本,看过,还行,2020-08-21 17:23:30,6400,比较感人的是 大喊自己名字然后跳楼自曝那段 我哭的稀里哗啦，结尾感觉有点草率，老算盘不知所踪
曉宇,看过,还行,2020-08-19 20:51:50,4805,我的评分是因为电影上映的不易，本身的虎头蛇尾和人物标签化就不论了。说点史实，“八百壮士”，百分之八十是湖北人，其中，通县县一百多人。多要感谢八十年代修县志，编辑部的张祥麟，挖出这一段历史。“小湖北”的原型应是万连卿，原是当地共产儿童团团长，被捕时因年幼保住一条命，后补充兵源去上海，成了谢晋元的卫兵。孤军营被破后，被日军押往南京做劳工，42年逃脱，编入远征军入缅。解放后，被送去新疆改造，79年特赦获释。释放前，遇到通城县公社在新疆推销茶叶，一听乡音，瞬即老泪纵横。
穆阳,看过,推荐,2020-08-18 00:13:43,584,太惨烈，太惨烈，太惨烈。
清平乐,看过,力荐,2020-08-14 13:48:30,1116,正视历史的前提就是尊重每一个创造历史的人，《八佰》做到了。他描写真实的恐惧和胆怯，也展示不遮掩的困惑和私心，他歌颂赤诚和热血，也赞叹无畏和决绝。图安稳日子的普通人尚且不懂什么是真正的牺牲，但就是这些日常被说着兵痞子和老油条的人，在战争中成为了真正的英雄。被动推着的，主动奉献的，在狼烟烽火面前，都聚拢在一起，正面对敌誓死无归。这是特定时代的故事，也是最伟大的故事。
母鬼法师,看过,较差,2020-08-19 12:22:33,3144,片子故事感拍的很好  但是这并不是历史
SydneyCarton,看过,还行,2020-08-19 00:27:50,4619,怎么说呢，不管你抱着何种期待去看这部，都会觉得还欠一点。给它高分有点不甘，给它恶评于心不忍，“苦劳”电影。
柯里昂,看过,推荐,2020-08-14 12:30:34,1026,好的地方不少，管虎耍起行活来还是很扎实，在第六代导演中他大概是最具类型片思维的一位，镜头游走、配乐卡点都颇为讲究，片中那些爆破戏、枪战戏以及对兄弟情（战友情）的呈现，一点不比陈木胜、林超贤、陈德森这批久经沙场的香港导演差。结尾撤退戏看哭周围不少观众，这场戏带来的紧张和感动大概不输《敦刻尔克》结尾渔民集体开船救援英军的情节。当然，战争片的一些通病也有，前半段明显剪得有些碎（自然也与删减有关），而且角色视点过多基本也是国产战争片老毛病，华谊大概是把自家明星能塞的全塞进去了。护旗桥段删得令人惋惜，其余几处删减也挺明显的，虽说就目前版本来讲完成度已经很高，但作为观众谁又不更倾向于看到代表导演诉求而非政治立场的完整版呢，终归还是怀有遗憾。最后，从各种意义上来说，参与这部片台前幕后的人员都是值得敬佩的。
噗呲噗呲好多鱼,看过,力荐,2020-08-14 17:19:07,1043,2020年真正意义上看的第一部电影，基本只有两个字：震撼。震撼场面的宏大，故事的完整，节奏的流畅，演员的演技，但最重要的是，对平凡人的尊重。没有番号的军队，没有番位的排名，电影回归本体，就该是《八佰》这样，用画面重现历史，用真诚铭记和怀念。中国电影工业化的里程碑之作，不愧是大片！
流岛,看过,较差,2020-08-19 12:21:59,2178,好油腻的拍法
