用户,是否看过,评分,评论时间,有用数,评论
小烨,看过,很差,2018-07-24 19:58:58,8372,恶俗，闹剧。全片的笑点都很俗，故事主线略等于没有。拜金没有错，但用学狗叫来表现拜金那一段真的把我惊呆了。用足球梦想煽情太过度，尴尬出天际。我很想为了LGBT多给一颗星，但一想到里面恶俗的点臣妾就做不到啊。一颗星给宋芸桦和王力宏。
唐朝,看过,较差,2018-07-25 21:06:01,5819,开心麻花片子的老问题，剧情分裂，建立一个设定猛耍宝，很多耍宝很 low很常用，没有新意。为了好玩好笑，剧情发展差点也无所谓了。连情节中最基本的时间概念也没考虑使用，做做文章。
朝暮雪,看过,推荐,2018-07-27 13:04:23,27492,"又名《当王思聪是怎样一种体验》，表面上是喜剧片，其实内在无比黑暗。
有钱可以让最高傲强势的经理俯首帖耳，可以让最思想崇高的教育家唯命是从，可以让股神陪你吃饭，可以让王力宏去你家开演唱会。
但有钱同样也可以让你实现最不可能实现的梦想，可以让你追到最不可能追到的女生，可以让你和高不可攀的球队踢球，可以让你在朋友有生命危险的时候有能力救Ta。
钱是王八蛋，钱也是救命药。
有钱之后瞎几把投的股票都可以增值，瞎几把投的项目都可以爆赚，钱像有繁殖能力一样越用越多。
但这又怎样呢？那些告诉你“钱不重要”“平平淡淡才是真”的电影只是毒鸡汤，这种提倡“钱很重要、有钱可以做想做的事、有钱可以提高实现梦想的几率”、号召大家认真工作努力赚钱的电影不才是正确的价值观吗？
电影只是说了人人都知道，但人人都不愿意接受的事。"
LORENZO 洛伦佐,看过,还行,2018-07-28 23:45:13,5322,论同性婚姻合法化的重要性，要是二奶合法继承了，还有他王多鱼什么事
齐木楠雄,看过,还行,2018-07-27 12:45:45,3661,除了尴尬的台湾女主其他人都很好笑，沈腾和常远一出场大家就笑，本来是8-9分的好笑程度，因为女主演技稀烂扣掉2星，最后金先生承认自己是二奶好评，电影现在能公开带一点同性恋内容也不容易
华盛顿樱桃树,看过,还行,2018-07-24 23:06:28,1053,作为一个笑点还比较高的人，一度笑崩溃了。亮点很多，惊喜密集。而难得的是，阐述了喜剧比较高级的力量，对当今社会做了不同角度和程度的讽刺。
大脸穆老实,看过,推荐,2018-07-25 15:56:29,1101,1、相比较，《夏洛》文本更出色，但是《西虹市》的电影感更强，整个作品更立体，闫非彭大魔作为电影导演的进步很大；2、全程彩蛋，笑点密集；3、和《猛虫过江》撞了一半演员，可却比它好笑十倍，所以演员不应该为烂片背锅；4、演员该集体减肥了，连常远都肿了，张一鸣肿成个球，沈腾就没消过肿
桃桃林林,看过,还行,2018-07-28 12:03:37,347,中间如何花钱的部分比较好笑。不过，宋芸桦重复了一个类似的角色。
摩西不夜奔,看过,推荐,2018-07-27 20:06:17,173,花光10个亿费这么大劲，西虹市就没搞电影的吗？还不够拍俩阿修罗的
津五渡,看过,较差,2018-07-24 18:34:44,1277,整体水准而言，尚不及铁拳，把给铁拳的长评移过来都不用怎么改。笑点依旧是小品似的片段笑点，都靠以沈腾为主的麻花们撑，一盘散沙。对资本的戏谑与讽刺，是闪光的点，可惜仅仅是一闪，如果是有意为之，就比较可惜。
